address,district,neighbourhood,property_type,bedrooms,house_age_years,distance_to_western_km,price,listing_url
"1303-250 Pall Mall Street, London East, ON",London East,East F,Condo,2.0,,2.65,549900,https://www.zolo.ca/london-east-real-estate/250-pall-mall-street/1303
"1129 Sunningdale Road E, London North, ON",London North,North C,House,4.0,,4.82,789900,https://www.zolo.ca/london-north-real-estate/1129-sunningdale-road-east
"1402 Hastings Drive, London North, ON",London North,North G,House,3.0,75.0,1.97,739999,https://www.zolo.ca/london-north-real-estate/1402-hastings-drive
"937 Lennon Way, London North, ON",London North,North E,House,6.0,10.0,4.54,959900,https://www.zolo.ca/london-north-real-estate/937-lennon-way
"809-127 Belmont Drive, London South, ON",London South,South O,Condo,2.0,40.0,6.95,349900,https://www.zolo.ca/london-south-real-estate/127-belmont-drive/809
"809-505 Talbot Street, London East, ON",London East,East F,Condo,2.0,,3.06,659900,https://www.zolo.ca/london-east-real-estate/505-talbot-street/809
"567 Fieldgate Circle, London East, ON",London East,East I,House,3.0,23.0,9.47,499999,https://www.zolo.ca/london-east-real-estate/567-fieldgate-circle
"708-563 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,,5.08,249900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/708
"1004-563 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,,5.08,159900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/1004
"1042 Melsetter Way, London North, ON",London North,North S,House,6.0,10.0,3.9,1398000,https://www.zolo.ca/london-north-real-estate/1042-melsetter-way
"404-1510 Richmond Street, London North, ON",London North,North G,Condo,2.0,,1.14,399900,https://www.zolo.ca/london-north-real-estate/1510-richmond-street/404
"302-323 Colborne Street, London East, ON",London East,East K,Condo,1.0,40.0,3.97,249900,https://www.zolo.ca/london-east-real-estate/323-colborne-street/302
"904 Dame Street, London East, ON",London East,East L,House,3.0,,5.52,409900,https://www.zolo.ca/london-east-real-estate/904-dame-street
"3074 Turner Crescent, London South, ON",London South,South U,House,3.0,0.0,10.66,799900,https://www.zolo.ca/london-south-real-estate/3074-turner-crescent
"21-4067 Colonel Talbot Road, London South, ON",London South,South V,Townhouse,3.0,13.0,11.0,679000,https://www.zolo.ca/london-south-real-estate/4067-colonel-talbot-road/21
"46-99 Edgevalley Road, London East, ON",London East,East A,Townhouse,2.0,40.0,4.88,474900,https://www.zolo.ca/london-east-real-estate/99-edgevalley-road/46
"2244 Red Thorne Avenue, London South, ON",London South,South V,House,7.0,2.0,10.09,1289000,https://www.zolo.ca/london-south-real-estate/2244-red-thorne-avenue
"111-731 Deveron Crescent, London South, ON",London South,South T,Condo,2.0,,8.31,195000,https://www.zolo.ca/london-south-real-estate/731-deveron-crescent/111
"1301 Michael Circle, London East, ON",London East,East D,Townhouse,4.0,10.0,5.49,485000,https://www.zolo.ca/london-east-real-estate/1301-michael-circle
"7 Northcrest Drive, London North, ON",London North,North B,House,3.0,75.0,2.89,999000,https://www.zolo.ca/london-north-real-estate/7-northcrest-drive
"212 Rathowen Street, London, ON",London,North N,House,4.0,75.0,2.27,599900,https://www.zolo.ca/london-real-estate/212-rathowen-street
"72-1850 Beaverbrook Avenue, London North, ON",London North,North M,Townhouse,3.0,13.0,3.94,549888,https://www.zolo.ca/london-north-real-estate/1850-beaverbrook-avenue/72
"87-1096 Jalna Boulevard, London South, ON",London South,South X,Condo,3.0,,9.09,285000,https://www.zolo.ca/london-south-real-estate/1096-jalna-boulevard/87
"944 Collins Drive, London South, ON",London South,South L,House,4.0,23.0,8.38,1229900,https://www.zolo.ca/london-south-real-estate/944-collins-drive
"102 Honeysuckle Crescent, London East, ON",London East,East A,House,3.0,75.0,4.62,449900,https://www.zolo.ca/london-east-real-estate/102-honeysuckle-crescent
"2 Surrey Crescent, London South, ON",London South,South Y,House,4.0,,9.69,499900,https://www.zolo.ca/london-south-real-estate/2-surrey-crescent
"1103-563 Mornington Avenue, London East, ON",London East,East G,Condo,1.0,,5.08,169900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/1103
"57 Langarth Street E, London South, ON",London South,South F,House,2.0,75.0,5.14,619000,https://www.zolo.ca/london-south-real-estate/57-langarth-street-east
"262 Hesselman Crescent, London South, ON",London South,South U,House,4.0,0.0,9.66,799900,https://www.zolo.ca/london-south-real-estate/262-hesselman-crescent
"765 Homeview Road, London South, ON",London South,South Q,Townhouse,3.0,,7.47,510000,https://www.zolo.ca/london-south-real-estate/765-homeview-road
"67-135 Belmont Drive, London South, ON",London South,South O,Townhouse,3.0,40.0,6.92,334900,https://www.zolo.ca/london-south-real-estate/135-belmont-drive/67
"87-320 Ambleside Drive, London North, ON",London North,North A,Townhouse,4.0,23.0,2.3,569000,https://www.zolo.ca/london-north-real-estate/320-ambleside-drive/87
"6893 Heathwoods Avenue, London South, ON",London South,South V,Townhouse,3.0,0.0,10.86,594800,https://www.zolo.ca/london-south-real-estate/6893-heathwoods-avenue
"2 Lloyd Manor Crescent, London North, ON",London North,North M,House,3.0,75.0,4.99,669900,https://www.zolo.ca/london-north-real-estate/2-lloyd-manor-crescent
"22 Denlaw Road, London North, ON",London North,North I,Townhouse,3.0,,2.77,479000,https://www.zolo.ca/london-north-real-estate/22-denlaw-road
"1311-695 Richmond Street, London East, ON",London East,East F,Condo,2.0,40.0,2.48,379000,https://www.zolo.ca/london-east-real-estate/695-richmond-street/1311
"214-300 Everglade Crescent, London North, ON",London North,North P,Condo,2.0,40.0,5.76,347500,https://www.zolo.ca/london-north-real-estate/300-everglade-crescent/214
"108-480 Callaway Road, London North, ON",London North,North R,Condo,1.0,2.0,3.6,464900,https://www.zolo.ca/london-north-real-estate/480-callaway-road/108
"501-583 Mornington Avenue, London East, ON",London East,East G,Condo,1.0,,5.11,174999,https://www.zolo.ca/london-east-real-estate/583-mornington-avenue/501
"22 Rosamond Crescent, London South, ON",London South,South X,Townhouse,3.0,40.0,8.3,529900,https://www.zolo.ca/london-south-real-estate/22-rosamond-crescent
"610-563 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,75.0,5.08,269000,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/610
"14 Archer Crescent, London South, ON",London South,South X,House,3.0,,9.84,399900,https://www.zolo.ca/london-south-real-estate/14-archer-crescent
"508-563 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,,5.08,239900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/508
"619 Eden Avenue, London South, ON",London South,South R,House,3.0,,7.79,599900,https://www.zolo.ca/london-south-real-estate/619-eden-avenue
"1001-1600 Adelaide Street N, London North, ON",London North,North C,Condo,2.0,40.0,3.64,348888,https://www.zolo.ca/london-north-real-estate/1600-adelaide-street-north/1001
"26-770 Fanshawe Park Road, London North, ON",London North,North C,Townhouse,3.0,75.0,3.59,420000,https://www.zolo.ca/london-north-real-estate/770-fanshawe-park-road/26
"25-475 Sandringham Crescent, London South, ON",London South,South R,Townhouse,3.0,,7.57,349900,https://www.zolo.ca/london-south-real-estate/475-sandringham-crescent/25
"101-1830 Dumont Street, London East, ON",London East,East H,Condo,2.0,75.0,7.8,229900,https://www.zolo.ca/london-east-real-estate/1830-dumont-street/101
"404-1103 Jalna Boulevard, London South, ON",London South,South X,Condo,1.0,,9.22,199900,https://www.zolo.ca/london-south-real-estate/1103-jalna-boulevard/404
"7-638 Wharncliffe Road S, London South, ON",London South,South P,Townhouse,3.0,,6.61,514900,https://www.zolo.ca/london-south-real-estate/638-wharncliffe-road-south/7
"12 Daybreak Drive, London East, ON",London East,East I,Townhouse,3.0,,9.87,799999,https://www.zolo.ca/london-east-real-estate/12-daybreak-drive
"3091 Tokala Trail, London North, ON",London North,North S,House,6.0,,5.32,925000,https://www.zolo.ca/london-north-real-estate/3091-tokala-trail
"584 Chelton Road, London South, ON",London South,South U,House,7.0,2.0,9.98,1099000,https://www.zolo.ca/london-south-real-estate/584-chelton-road
"110-1830 Dumont Street, London East, ON",London East,East H,Condo,2.0,75.0,7.8,199900,https://www.zolo.ca/london-east-real-estate/1830-dumont-street/110
"2 Oakwood Drive, London South, ON",London South,South B,House,4.0,75.0,8.41,859900,https://www.zolo.ca/london-south-real-estate/2-oakwood-drive
"430 Magnolia Crescent, London East, ON",London East,East A,House,3.0,75.0,4.21,630000,https://www.zolo.ca/london-east-real-estate/430-magnolia-crescent
"770 Cheapside Street, London East, ON",London East,East C,House,6.0,,3.52,699900,https://www.zolo.ca/london-east-real-estate/770-cheapside-street
"5-1460 Limberlost Road, London North, ON",London North,North I,Townhouse,3.0,40.0,2.92,424900,https://www.zolo.ca/london-north-real-estate/1460-limberlost-road/5
"#610-460 Callaway Road, London North, ON",London North,North R,Condo,2.0,2.0,3.64,549900,https://www.zolo.ca/london-north-real-estate/460-callaway-road/610
"313-1560 Upper West Avenue, London South, ON",London South,South B,Condo,2.0,0.0,9.18,600000,https://www.zolo.ca/london-south-real-estate/1560-upper-west-avenue/313
"12 Spencer Crescent, London North, ON",London North,North G,House,4.0,40.0,2.09,910000,https://www.zolo.ca/london-north-real-estate/12-spencer-crescent
"30 Trapper Street, London East, ON",London East,East P,House,3.0,,9.72,599900,https://www.zolo.ca/london-east-real-estate/30-trapper-street
"107 Rosamond Crescent, London South, ON",London South,South X,House,3.0,40.0,8.38,474900,https://www.zolo.ca/london-south-real-estate/107-rosamond-crescent
"61 Godfrey Drive, London East, ON",London East,East D,House,5.0,,5.14,599900,https://www.zolo.ca/london-east-real-estate/61-godfrey-drive
"60-151 Martinet Avenue, London East, ON",London East,East I,Townhouse,3.0,40.0,10.08,329900,https://www.zolo.ca/london-east-real-estate/151-martinet-avenue/60
"28-474 Southdale Road E, London South, ON",London South,South Q,Townhouse,3.0,,7.94,389000,https://www.zolo.ca/london-south-real-estate/474-southdale-road-east/28
"198 Arlington Crescent, London South, ON",London South,South J,House,4.0,75.0,6.96,519900,https://www.zolo.ca/london-south-real-estate/198-arlington-crescent
"56-1595 Capri Crescent, London North, ON",London North,North S,Townhouse,3.0,2.0,5.62,495000,https://www.zolo.ca/london-north-real-estate/1595-capri-crescent/56
"795 Catalpa Square, London North, ON",London North,North E,Townhouse,3.0,0.0,4.45,599999,https://www.zolo.ca/london-north-real-estate/795-catalpa-square
"204-693 Windermere Road, London North, ON",London North,North G,Condo,2.0,40.0,2.07,399900,https://www.zolo.ca/london-north-real-estate/693-windermere-road/204
"1237 Landor Street, London East, ON",London East,East C,House,5.0,,4.88,449000,https://www.zolo.ca/london-east-real-estate/1237-landor-street
"4-2215 Callingham Drive, London North, ON",London North,North R,Townhouse,4.0,8.0,3.37,920000,https://www.zolo.ca/london-north-real-estate/2215-callingham-drive/4
"172-1775 Culver Drive, London East, ON",London East,East H,Townhouse,3.0,40.0,7.41,374900,https://www.zolo.ca/london-east-real-estate/1775-culver-drive/172
"60-700 Osgoode Drive, London South, ON",London South,South Y,Townhouse,4.0,40.0,8.87,409900,https://www.zolo.ca/london-south-real-estate/700-osgoode-drive/60
"102-735 Deveron Crescent, London South, ON",London South,South T,Condo,2.0,,8.22,265000,https://www.zolo.ca/london-south-real-estate/735-deveron-crescent/102
"2701-363 Colborne Street, London East, ON",London East,East K,Condo,2.0,40.0,3.92,274800,https://www.zolo.ca/london-east-real-estate/363-colborne-street/2701
"212-563 Mornington Avenue, London East, ON",London East,East G,Condo,1.0,75.0,5.08,218900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/212
"235 Hamilton Road, London, ON",London,East L,Townhouse,11.0,138.0,4.87,769900,https://www.zolo.ca/london-real-estate/235-hamilton-road
"220-1447 Huron Street, London East, ON",London East,East D,Condo,2.0,40.0,5.67,289900,https://www.zolo.ca/london-east-real-estate/1447-huron-street/220
"105-333 Commissioners Road W, London South, ON",London South,South D,Condo,1.0,40.0,5.91,234900,https://www.zolo.ca/london-south-real-estate/333-commissioners-road-west/105
"404-250 Pall Mall Street, London East, ON",London East,East F,Condo,2.0,,2.65,639900,https://www.zolo.ca/london-east-real-estate/250-pall-mall-street/404
"26-600 Guiness Way, London North, ON",London North,North D,Townhouse,3.0,2.0,6.1,555610,https://www.zolo.ca/london-north-real-estate/600-guiness-way/26
"8-50 Chapman Court, London North, ON",London North,North I,Townhouse,3.0,23.0,2.85,409900,https://www.zolo.ca/london-north-real-estate/50-chapman-court/8
"2283 Tokala Trail, London North, ON",London North,North S,House,4.0,2.0,4.25,899900,https://www.zolo.ca/london-north-real-estate/2283-tokala-trail
"49-110 Deveron Crescent, London South, ON",London South,South T,Townhouse,3.0,,8.87,349900,https://www.zolo.ca/london-south-real-estate/110-deveron-crescent/49
"653 Steeplechase Drive, London South, ON",London South,South N,House,5.0,,6.78,699000,https://www.zolo.ca/london-south-real-estate/653-steeplechase-drive
"302-122 Wortley Road, London South, ON",London South,South F,Condo,2.0,13.0,4.25,989900,https://www.zolo.ca/london-south-real-estate/122-wortley-road/302
"108-1725 Ernest Avenue, London, ON",London,South X,Townhouse,4.0,42.0,8.3,359900,https://www.zolo.ca/london-real-estate/1725-ernest-avenue/108
"107 Windsor Crescent, London South, ON",London South,South F,Townhouse,6.0,75.0,5.43,929900,https://www.zolo.ca/london-south-real-estate/107-windsor-crescent
"43-99 Edgevalley Road, London East, ON",London East,East A,Townhouse,2.0,,4.88,489900,https://www.zolo.ca/london-east-real-estate/99-edgevalley-road/43
"2590 Tokala Trail, London North, ON",London North,North S,House,6.0,,4.27,849000,https://www.zolo.ca/london-north-real-estate/2590-tokala-trail
"213 Hawthorne Road, London North, ON",London North,North E,House,4.0,23.0,3.98,769900,https://www.zolo.ca/london-north-real-estate/213-hawthorne-road
"51-678 Upper Queen Street, London South, ON",London South,South R,Townhouse,3.0,,7.55,372900,https://www.zolo.ca/london-south-real-estate/678-upper-queen-street/51
"183-185 Vancouver Street, London East, ON",London East,East H,Townhouse,7.0,75.0,7.39,839900,https://www.zolo.ca/london-east-real-estate/183-185-vancouver-street
"212-1447 Huron Street, London East, ON",London East,East D,Condo,2.0,40.0,5.67,244900,https://www.zolo.ca/london-east-real-estate/1447-huron-street/212
"1762 Dewar Place, London North, ON",London North,North S,House,5.0,10.0,4.05,1059000,https://www.zolo.ca/london-north-real-estate/1762-dewar-place
"501-1510 Richmond Street, London North, ON",London North,North G,Condo,2.0,,1.14,374900,https://www.zolo.ca/london-north-real-estate/1510-richmond-street/501
"316 Ridgewood Crescent, London South, ON",London South,South D,House,4.0,75.0,4.64,474900,https://www.zolo.ca/london-south-real-estate/316-ridgewood-crescent
"67 Breckenridge Crescent, London South, ON",London South,South Y,Townhouse,3.0,,9.43,469900,https://www.zolo.ca/london-south-real-estate/67-breckenridge-crescent
"20-760 Berkshire Drive, London South, ON",London South,South N,Townhouse,2.0,75.0,5.63,340000,https://www.zolo.ca/london-south-real-estate/760-berkshire-drive/20
"702-549 Ridout Street N, London East, ON",London East,East F,Condo,2.0,40.0,2.96,329000,https://www.zolo.ca/london-east-real-estate/549-ridout-street-north/702
"199 Vancouver Street, London East, ON",London East,East H,House,4.0,75.0,7.59,639900,https://www.zolo.ca/london-east-real-estate/199-vancouver-street
"1902-330 Ridout Street N, London East, ON",London East,East K,Condo,2.0,,3.67,499900,https://www.zolo.ca/london-east-real-estate/330-ridout-street-north/1902
"159 Walmer Gardens, London North, ON",London North,North K,House,3.0,40.0,2.02,619900,https://www.zolo.ca/london-north-real-estate/159-walmer-gardens
"1263 Sorrel Road, London East, ON",London East,East D,Townhouse,,,6.79,420000,https://www.zolo.ca/london-east-real-estate/1263-sorrel-road
"9-1850 Beaverbrook Avenue, London North, ON",London North,North M,Townhouse,3.0,13.0,3.94,549900,https://www.zolo.ca/london-north-real-estate/1850-beaverbrook-avenue/9
"245 Ensign Crescent, London South, ON",London South,South N,House,4.0,40.0,7.13,784900,https://www.zolo.ca/london-south-real-estate/245-ensign-crescent
"814-480 Callaway Road, London North, ON",London North,North R,Condo,3.0,2.0,3.6,799000,https://www.zolo.ca/london-north-real-estate/480-callaway-road/814
"272 Wilkins Street, London South, ON",London South,South R,House,3.0,40.0,7.39,699000,https://www.zolo.ca/london-south-real-estate/272-wilkins-street
"7 Harrow Court, London South, ON",London South,South S,House,4.0,,9.04,689999,https://www.zolo.ca/london-south-real-estate/7-harrow-court
"857 Catalpa Square, London North, ON",London North,North E,Townhouse,3.0,0.0,4.65,569999,https://www.zolo.ca/london-north-real-estate/857-catalpa-square
"307-1975 Fountain Grass Drive, London South, ON",London South,South B,Condo,2.0,,9.23,599000,https://www.zolo.ca/london-south-real-estate/1975-fountain-grass-drive/307
"23 Fox Mill Crescent, London South, ON",London South,South N,House,4.0,,6.77,655000,https://www.zolo.ca/london-south-real-estate/23-fox-mill-crescent
"203-549 Ridout Street N, London East, ON",London East,East F,Condo,2.0,40.0,2.96,299900,https://www.zolo.ca/london-east-real-estate/549-ridout-street-north/203
"211-460 Callaway Road, London North, ON",London North,North R,Condo,3.0,,3.65,899000,https://www.zolo.ca/london-north-real-estate/460-callaway-road/211
"322 Mornington Avenue, London East, ON",London East,East G,House,3.0,100.0,4.13,374900,https://www.zolo.ca/london-east-real-estate/322-mornington-avenue
"96-51 Sholto Drive, London South, ON",London South,South X,Townhouse,3.0,,10.06,449900,https://www.zolo.ca/london-south-real-estate/51-sholto-drive/96
"6905 Heathwoods Avenue, London South, ON",London South,South V,Townhouse,3.0,0.0,10.87,594800,https://www.zolo.ca/london-south-real-estate/6905-heathwoods-avenue
"4-2070 Meadowgate Boulevard, London South, ON",London South,South U,Townhouse,4.0,8.0,9.21,489900,https://www.zolo.ca/london-south-real-estate/2070-meadowgate-boulevard/4
"226-230 Clarke Road, London East, ON",London East,East I,Townhouse,3.0,75.0,8.44,399000,https://www.zolo.ca/london-east-real-estate/230-clarke-road/226
"55-70 Chapman Court, London North, ON",London North,North I,Townhouse,3.0,,2.97,399900,https://www.zolo.ca/london-north-real-estate/70-chapman-court/55
"802-250 Pall Mall Street, London East, ON",London East,East F,Condo,2.0,,2.65,430500,https://www.zolo.ca/london-east-real-estate/250-pall-mall-street/802
"705-330 Ridout Street N, London East, ON",London East,East K,Condo,2.0,,5.58,535000,https://www.zolo.ca/london-east-real-estate/330-ridout-street-north/705
"103-570 Proudfoot Lane, London North, ON",London North,North N,Condo,2.0,,3.0,319000,https://www.zolo.ca/london-north-real-estate/570-proudfoot-lane/103
"5-1924 Cedarhollow Boulevard, London North, ON",London North,North D,Townhouse,3.0,13.0,6.29,559900,https://www.zolo.ca/london-north-real-estate/1924-cedarhollow-boulevard/5
"78 Langarth Street W, London South, ON",London South,South E,House,3.0,,4.99,479900,https://www.zolo.ca/london-south-real-estate/78-langarth-street-west
"83 Bonaventure Drive, London East, ON",London East,East I,Townhouse,3.0,,9.79,484900,https://www.zolo.ca/london-east-real-estate/83-bonaventure-drive
"64-40 Tiffany Drive, London East, ON",London East,East I,Townhouse,3.0,40.0,9.18,345000,https://www.zolo.ca/london-east-real-estate/40-tiffany-drive/64
"704-600 Grenfell Drive, London North, ON",London North,North C,Condo,2.0,,3.53,279900,https://www.zolo.ca/london-north-real-estate/600-grenfell-drive/704
"128-51 Sholto Drive, London South, ON",London South,South X,Townhouse,3.0,,10.06,399900,https://www.zolo.ca/london-south-real-estate/51-sholto-drive/128
"102 Loggers Grove, London East, ON",London East,East P,House,4.0,23.0,9.87,699900,https://www.zolo.ca/london-east-real-estate/102-loggers-grove
"309-693 Windermere Road, London North, ON",London North,North G,Condo,2.0,,2.07,464900,https://www.zolo.ca/london-north-real-estate/693-windermere-road/309
"1762 Aldersbrook Road, London North, ON",London North,North F,Townhouse,3.0,40.0,3.88,470000,https://www.zolo.ca/london-north-real-estate/1762-aldersbrook-road
"309-729 Deveron Crescent, London South, ON",London South,South T,Condo,1.0,40.0,8.39,239900,https://www.zolo.ca/london-south-real-estate/729-deveron-crescent/309
"801-330 Ridout Street N, London East, ON",London East,East K,Condo,1.0,13.0,3.67,414900,https://www.zolo.ca/london-east-real-estate/330-ridout-street-north/801
"106-1275 Bentley Drive, London, ON",London,East D,Condo,2.0,36.0,5.4,265000,https://www.zolo.ca/london-real-estate/1275-bentley-drive/106
"135-1096 Jalna Boulevard, London South, ON",London South,South X,Condo,2.0,40.0,9.09,258500,https://www.zolo.ca/london-south-real-estate/1096-jalna-boulevard/135
"461 Cleveland Avenue, London South, ON",London South,South J,Townhouse,3.0,40.0,7.24,449900,https://www.zolo.ca/london-south-real-estate/461-cleveland-avenue
"204 Burnside Drive, London East, ON",London East,East I,Townhouse,4.0,75.0,9.01,639000,https://www.zolo.ca/london-east-real-estate/204-burnside-drive
"701-986 Huron Street, London East, ON",London East,East A,Condo,2.0,40.0,3.75,259000,https://www.zolo.ca/london-east-real-estate/986-huron-street/701
"50-112 North Centre Road, London North, ON",London North,North B,Condo,3.0,13.0,2.2,299000,https://www.zolo.ca/london-north-real-estate/112-north-centre-road/50
"26 Caprice Crescent, London East, ON",London East,East I,House,3.0,,9.05,489900,https://www.zolo.ca/london-east-real-estate/26-caprice-crescent
"12-210 Carlyle Drive, London East, ON",London East,East I,Townhouse,3.0,40.0,9.13,319900,https://www.zolo.ca/london-east-real-estate/210-carlyle-drive/12
"118-1330 Jalna Boulevard, London South, ON",London South,South X,Townhouse,3.0,40.0,9.92,285000,https://www.zolo.ca/london-south-real-estate/1330-jalna-boulevard/118
"1207-858 Commissioners Road E, London South, ON",London South,South H,Condo,2.0,,7.15,289000,https://www.zolo.ca/london-south-real-estate/858-commissioners-road-east/1207
"405-333 Commissioners Road W, London South, ON",London South,South D,Condo,2.0,40.0,5.91,274900,https://www.zolo.ca/london-south-real-estate/333-commissioners-road-west/405
"114-1447 Huron Street, London East, ON",London East,East D,Condo,1.0,,5.66,267995,https://www.zolo.ca/london-east-real-estate/1447-huron-street/114
"118-1200 Commissioners Road W, London South, ON",London South,South B,Condo,2.0,8.0,7.28,624900,https://www.zolo.ca/london-south-real-estate/1200-commissioners-road-west/118
"62-801 Osgoode Drive, London South, ON",London South,South Y,Townhouse,4.0,,9.08,424988,https://www.zolo.ca/london-south-real-estate/801-osgoode-drive/62
"904-544 Talbot Street, London East, ON",London East,East F,Condo,2.0,,2.94,468800,https://www.zolo.ca/london-east-real-estate/544-talbot-street/904
"1107-1235 Richmond Street, London East, ON",London East,East B,Condo,2.0,,0.74,474900,https://www.zolo.ca/london-east-real-estate/1235-richmond-street/1107
"4079 Campbell Street, London South, ON",London South,South V,House,4.0,2.0,10.59,949000,https://www.zolo.ca/london-south-real-estate/4079-campbell-street
"202 Sydenham Street, London East, ON",London East,East B,Townhouse,6.0,100.0,2.12,650000,https://www.zolo.ca/london-east-real-estate/202-sydenham-street
"71 Langarth Street W, London South, ON",London South,South E,House,4.0,2.0,5.05,734900,https://www.zolo.ca/london-south-real-estate/71-langarth-street-west
"2-131 Bonaventure Drive, London East, ON",London East,East I,Townhouse,3.0,,9.6,379900,https://www.zolo.ca/london-east-real-estate/131-bonaventure-drive/2
"951 Notre Dame Drive, London South, ON",London South,South O,Townhouse,3.0,75.0,7.56,319900,https://www.zolo.ca/london-south-real-estate/951-notre-dame-drive
"95 Scotchmere Crescent, London South, ON",London South,South X,Townhouse,3.0,,9.8,469900,https://www.zolo.ca/london-south-real-estate/95-scotchmere-crescent
"1287 Nicole Avenue, London North, ON",London North,North C,House,4.0,,4.81,729900,https://www.zolo.ca/london-north-real-estate/1287-nicole-avenue
"340 Riverside Drive, London North, ON",London North,North N,House,4.0,,3.28,649900,https://www.zolo.ca/london-north-real-estate/340-riverside-drive
"1105-155 Kent Street, London East, ON",London East,East F,Condo,2.0,40.0,3.04,294900,https://www.zolo.ca/london-east-real-estate/155-kent-street/1105
"29 Julia Court, London East, ON",London East,East I,Townhouse,5.0,,9.25,560000,https://www.zolo.ca/london-east-real-estate/29-julia-court
"813-240 Villagewalk Boulevard, London North, ON",London North,North R,Condo,2.0,13.0,3.39,479900,https://www.zolo.ca/london-north-real-estate/240-villagewalk-boulevard/813
"1202-250 Pall Mall Street, London East, ON",London East,East F,Condo,2.0,23.0,2.65,499900,https://www.zolo.ca/london-east-real-estate/250-pall-mall-street/1202
"264 Ridgewood Crescent, London South, ON",London South,South D,House,4.0,,4.78,699000,https://www.zolo.ca/london-south-real-estate/264-ridgewood-crescent
"UPPER-31 Langarth Street W, London South, ON",London South,South E,Townhouse,2.0,,5.07,1595,https://www.zolo.ca/london-south-real-estate/31-langarth-street-west/upper
"1515-45 Pond Mills Road, London South, ON",London South,South J,Condo,1.0,,6.94,279900,https://www.zolo.ca/london-south-real-estate/45-pond-mills-road/1515
"879 Garibaldi Avenue, London North, ON",London North,North B,House,3.0,,3.86,729900,https://www.zolo.ca/london-north-real-estate/879-garibaldi-avenue
