address,district,neighbourhood,property_type,bedrooms,house_age_years,distance_to_western_km,price,listing_url
"605-240 Villagewalk Boulevard, London North, ON",London North,North R,Condo,3.0,,3.39,735000,https://www.zolo.ca/london-north-real-estate/240-villagewalk-boulevard/605
"3-410 Ambleside Drive, London North, ON",London North,North A,Townhouse,3.0,,2.49,589000,https://www.zolo.ca/london-north-real-estate/410-ambleside-drive/3
"940 Oxford Street W, London North, ON",London North,North P,House,5.0,,4.55,1100000,https://www.zolo.ca/london-north-real-estate/940-oxford-street-west
"1605-695 Richmond Street, London East, ON",London East,East F,Condo,2.0,,2.48,355000,https://www.zolo.ca/london-east-real-estate/695-richmond-street/1605
"876 Eagletrace Drive, London North, ON",London North,North S,House,4.0,0.0,3.85,1480000,https://www.zolo.ca/london-north-real-estate/876-eagletrace-drive
"405-440 Central Avenue, London East, ON",London East,East F,Condo,1.0,75.0,3.2,229999,https://www.zolo.ca/london-east-real-estate/440-central-avenue/405
"27 Stirrup Court, London North, ON",London North,North J,House,3.0,40.0,1.39,849000,https://www.zolo.ca/london-north-real-estate/27-stirrup-court
"1566 Nairn Avenue, London East, ON",London East,East D,Townhouse,4.0,75.0,6.84,469000,https://www.zolo.ca/london-east-real-estate/1566-nairn-avenue
"827 Quebec Street, London East, ON",London East,East G,House,6.0,75.0,4.05,459900,https://www.zolo.ca/london-east-real-estate/827-quebec-street
"5-417 Hyde Park Road, London North, ON",London North,North P,Townhouse,2.0,23.0,5.96,599900,https://www.zolo.ca/london-north-real-estate/417-hyde-park-road/5
"12-1990 Wavell Street, London East, ON",London East,East I,Townhouse,3.0,,8.66,419900,https://www.zolo.ca/london-east-real-estate/1990-wavell-street/12
"1102-19 King Street, London East, ON",London East,East K,Condo,2.0,,3.58,499900,https://www.zolo.ca/london-east-real-estate/19-king-street/1102
"1166 Smither Road, London North, ON",London North,North I,House,5.0,10.0,3.88,839000,https://www.zolo.ca/london-north-real-estate/1166-smither-road
"51 Ashbury Avenue, London South, ON",London South,South Y,House,4.0,,9.63,589900,https://www.zolo.ca/london-south-real-estate/51-ashbury-avenue
"279 Stephen Street, London South, ON",London South,South B,House,3.0,75.0,7.71,799000,https://www.zolo.ca/london-south-real-estate/279-stephen-street
"120 Champlain Crescent, London East, ON",London East,East I,House,3.0,,9.7,589900,https://www.zolo.ca/london-east-real-estate/120-champlain-crescent
"59-550 Second Street, London East, ON",London East,East H,Townhouse,4.0,40.0,6.6,359000,https://www.zolo.ca/london-east-real-estate/550-second-street/59
"839 Guildwood Boulevard, London North, ON",London North,North M,House,3.0,23.0,4.2,599000,https://www.zolo.ca/london-north-real-estate/839-guildwood-boulevard
"90-1096 Jalna Boulevard, London South, ON",London South,South X,Condo,2.0,40.0,9.09,279900,https://www.zolo.ca/london-south-real-estate/1096-jalna-boulevard/90
"315-1510 Richmond Street, London North, ON",London North,North G,Condo,2.0,40.0,1.14,399000,https://www.zolo.ca/london-north-real-estate/1510-richmond-street/315
"126-3025 Singleton Avenue, London South, ON",London South,South W,Townhouse,3.0,8.0,7.87,549900,https://www.zolo.ca/london-south-real-estate/3025-singleton-avenue/126
"4542 Avenue Road, London South, ON",London South,South ZZ,House,3.0,,12.54,899990,https://www.zolo.ca/london-south-real-estate/4542-avenue-road
"487 Jeffreybrook Close, London North, ON",London North,North B,House,6.0,40.0,2.79,849900,https://www.zolo.ca/london-north-real-estate/487-jeffreybrook-close
"37-1294 Byron Baseline Road, London South, ON",London South,South K,Townhouse,3.0,40.0,7.99,399000,https://www.zolo.ca/london-south-real-estate/1294-byron-baseline-road/37
"301-460 Callaway Road, London North, ON",London North,North R,Condo,2.0,2.0,3.65,650000,https://www.zolo.ca/london-north-real-estate/460-callaway-road/301
"8-590 Millbank Drive, London South, ON",London South,South Y,Townhouse,3.0,40.0,9.1,380000,https://www.zolo.ca/london-south-real-estate/590-millbank-drive/8
"312-931 Wonderland Road S, London South, ON",London South,South M,Condo,1.0,75.0,7.55,219900,https://www.zolo.ca/london-south-real-estate/931-wonderland-road-south/312
"60 Tilipe Road, London East, ON",London East,East D,Townhouse,4.0,,6.98,534900,https://www.zolo.ca/london-east-real-estate/60-tilipe-road
"372 Manhattan Drive, London South, ON",London South,South K,House,4.0,,8.94,1599000,https://www.zolo.ca/london-south-real-estate/372-manhattan-drive
"708-583 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,75.0,5.11,214900,https://www.zolo.ca/london-east-real-estate/583-mornington-avenue/708
"601-1510 Richmond Street N, London North, ON",London North,North G,Condo,4.0,40.0,1.14,675000,https://www.zolo.ca/london-north-real-estate/1510-richmond-street-north/601
"27 Wharncliffe Road S, London South, ON",London South,South E,Townhouse,3.0,75.0,3.56,529900,https://www.zolo.ca/london-south-real-estate/27-wharncliffe-road-south
"116-1775 Culver Drive, London East, ON",London East,East H,Townhouse,3.0,,7.41,315000,https://www.zolo.ca/london-east-real-estate/1775-culver-drive/116
"2701-505 Talbot Street, London East, ON",London East,East F,Condo,3.0,,3.06,1100000,https://www.zolo.ca/london-east-real-estate/505-talbot-street/2701
"616 Wilkins Street, London South, ON",London South,South R,Townhouse,2.0,75.0,7.15,359900,https://www.zolo.ca/london-south-real-estate/616-wilkins-street
"713-240 Villagewalk Boulevard, London North, ON",London North,North R,Condo,2.0,13.0,3.39,524900,https://www.zolo.ca/london-north-real-estate/240-villagewalk-boulevard/713
"1627 Mardell Street, London East, ON",London East,East H,House,2.0,,6.28,549900,https://www.zolo.ca/london-east-real-estate/1627-mardell-street
"631 Elias Street, London East, ON",London East,East G,Townhouse,3.0,100.0,3.72,499999,https://www.zolo.ca/london-east-real-estate/631-elias-street
"602-1030 Coronation Drive, London North, ON",London North,North I,Condo,2.0,23.0,4.63,419900,https://www.zolo.ca/london-north-real-estate/1030-coronation-drive/602
"1316 Twilite Boulevard, London North, ON",London North,North S,House,3.0,10.0,5.1,829900,https://www.zolo.ca/london-north-real-estate/1316-twilite-boulevard
"26-624 William Street, London East, ON",London East,East F,Townhouse,3.0,23.0,3.38,474900,https://www.zolo.ca/london-east-real-estate/624-william-street/26
"305-162 Wortley Road, London South, ON",London South,South F,Condo,2.0,13.0,4.48,799900,https://www.zolo.ca/london-south-real-estate/162-wortley-road/305
"1292 Sorrel Road, London East, ON",London East,East E,Townhouse,4.0,,6.9,418900,https://www.zolo.ca/london-east-real-estate/1292-sorrel-road
"1901-389 Dundas Street, London East, ON",London East,East K,Condo,3.0,40.0,3.79,250000,https://www.zolo.ca/london-east-real-estate/389-dundas-street/1901
"124-3320 Meadowgate Boulevard, London South, ON",London South,South U,Townhouse,2.0,,10.46,395000,https://www.zolo.ca/london-south-real-estate/3320-meadowgate-boulevard/124
"1948 Royal Crescent, London East, ON",London East,East I,House,4.0,,8.5,479900,https://www.zolo.ca/london-east-real-estate/1948-royal-crescent
"600 Wonderland Road S, London South, ON",London South,South N,Townhouse,3.0,75.0,6.41,329900,https://www.zolo.ca/london-south-real-estate/600-wonderland-road-south
"59-1010 Fanshawe Park Road E, London North, ON",London North,North C,Townhouse,3.0,13.0,4.38,559900,https://www.zolo.ca/london-north-real-estate/1010-fanshawe-park-road-east/59
"289 Winnipeg Boulevard, London East, ON",London East,East H,House,2.0,75.0,7.44,449900,https://www.zolo.ca/london-east-real-estate/289-winnipeg-boulevard
"606 Central Avenue, London East, ON",London East,East F,House,4.0,100.0,3.52,589900,https://www.zolo.ca/london-east-real-estate/606-central-avenue
"272 Elgin Street, London East, ON",London East,East M,House,3.0,75.0,6.72,419900,https://www.zolo.ca/london-east-real-estate/272-elgin-street
"9-703 Windermere Road, London North, ON",London North,North G,Townhouse,4.0,40.0,2.12,509000,https://www.zolo.ca/london-north-real-estate/703-windermere-road/9
"758 Banyan Lane, London North, ON",London North,North E,Townhouse,3.0,0.0,4.49,534900,https://www.zolo.ca/london-north-real-estate/758-banyan-lane
"30-3361 David Milne Way, London South, ON",London South,South W,Townhouse,3.0,0.0,8.64,498230,https://www.zolo.ca/london-south-real-estate/3361-david-milne-way/30
"6-140 Conway Drive, London South, ON",London South,South X,Condo,1.0,,8.93,244900,https://www.zolo.ca/london-south-real-estate/140-conway-drive/6
"1213 Smither Road, London North, ON",London North,North I,House,3.0,,4.0,799900,https://www.zolo.ca/london-north-real-estate/1213-smither-road
"303-733 Deveron Crescent, London South, ON",London South,South T,Condo,3.0,40.0,8.22,349900,https://www.zolo.ca/london-south-real-estate/733-deveron-crescent/303
"113-1680 Evans Boulevard, London South, ON",London South,South U,Townhouse,3.0,0.0,9.09,400126,https://www.zolo.ca/london-south-real-estate/1680-evans-boulevard/113
"17-340 Ambleside Drive, London North, ON",London North,North A,Townhouse,3.0,40.0,2.41,499900,https://www.zolo.ca/london-north-real-estate/340-ambleside-drive/17
"912-570 Proudfoot Lane, London North, ON",London North,North N,Condo,1.0,,3.0,289900,https://www.zolo.ca/london-north-real-estate/570-proudfoot-lane/912
"34-40 Arbour Glen Crescent, London East, ON",London East,East A,Townhouse,2.0,,3.35,239000,https://www.zolo.ca/london-east-real-estate/40-arbour-glen-crescent/34
"53 Madeira Drive, London East, ON",London East,East D,House,5.0,,6.58,449000,https://www.zolo.ca/london-east-real-estate/53-madeira-drive
"207-1830 Dumont Street, London East, ON",London East,East H,Condo,2.0,75.0,7.8,224900,https://www.zolo.ca/london-east-real-estate/1830-dumont-street/207
"405-77 Baseline Road, London South, ON",London South,South E,Condo,1.0,40.0,5.73,219900,https://www.zolo.ca/london-south-real-estate/77-baseline-road/405
"925 Maitland Street, London East, ON",London East,East B,House,3.0,,2.34,529900,https://www.zolo.ca/london-east-real-estate/925-maitland-street
"1127 Trafalgar Street, London East, ON",London East,East M,House,3.0,75.0,6.27,349900,https://www.zolo.ca/london-east-real-estate/1127-trafalgar-street
"322 Fleming Drive, London East, ON",London East,East D,House,5.0,,6.41,519000,https://www.zolo.ca/london-east-real-estate/322-fleming-drive
"872 Stedwell Street, London East, ON",London East,East L,House,3.0,100.0,5.51,499900,https://www.zolo.ca/london-east-real-estate/872-stedwell-street
"706-76 Baseline Road W, London South, ON",London South,South E,Condo,1.0,,5.58,229900,https://www.zolo.ca/london-south-real-estate/76-baseline-road-west/706
"1218 Baird Street, London North, ON",London North,North M,House,4.0,10.0,3.78,739900,https://www.zolo.ca/london-north-real-estate/1218-baird-street
"4-2605 Kettering Place, London South, ON",London South,South U,Townhouse,3.0,0.0,11.2,499900,https://www.zolo.ca/london-south-real-estate/2605-kettering-place/4
"604-583 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,,5.11,234900,https://www.zolo.ca/london-east-real-estate/583-mornington-avenue/604
"3601 Lynds Street, London South, ON",London South,South W,House,4.0,2.0,9.12,799777,https://www.zolo.ca/london-south-real-estate/3601-lynds-street
"112-275 Callaway Road, London North, ON",London North,North R,Townhouse,4.0,8.0,3.58,629000,https://www.zolo.ca/london-north-real-estate/275-callaway-road/112
"3 Johnston Street, London South, ON",London South,South E,House,3.0,,3.82,514900,https://www.zolo.ca/london-south-real-estate/3-johnston-street
"495 Jeffreybrook Close, London North, ON",London North,North B,House,5.0,40.0,2.76,775000,https://www.zolo.ca/london-north-real-estate/495-jeffreybrook-close
"866 William Street, London East, ON",London East,East B,House,3.0,100.0,2.8,649900,https://www.zolo.ca/london-east-real-estate/866-william-street
"603-260 Villagewalk Boulevard, London North, ON",London North,North R,Condo,2.0,,3.41,729900,https://www.zolo.ca/london-north-real-estate/260-villagewalk-boulevard/603
"608-1600 Adelaide Street N, London North, ON",London North,North C,Condo,1.0,,3.64,275000,https://www.zolo.ca/london-north-real-estate/1600-adelaide-street-north/608
"1403-860 Commissioners Road E, London South, ON",London South,South H,Condo,2.0,40.0,7.19,299900,https://www.zolo.ca/london-south-real-estate/860-commissioners-road-east/1403
"28 Beattie Avenue, London East, ON",London East,East N,Townhouse,4.0,75.0,6.19,539900,https://www.zolo.ca/london-east-real-estate/28-beattie-avenue
"1007-1235 Richmond Street, London, ON",London,East C,Condo,2.0,,0.75,485900,https://www.zolo.ca/london-real-estate/1235-richmond-street/1007
"10-215 Commissioners Road W, London South, ON",London South,South D,Townhouse,3.0,,5.83,349900,https://www.zolo.ca/london-south-real-estate/215-commissioners-road-west/10
"302-1106 Jalna Boulevard, London South, ON",London South,South X,Condo,2.0,75.0,9.33,199900,https://www.zolo.ca/london-south-real-estate/1106-jalna-boulevard/302
"404-1975 Fountain Grass Drive, London South, ON",London South,South B,Condo,2.0,2.0,9.22,699000,https://www.zolo.ca/london-south-real-estate/1975-fountain-grass-drive/404
"954 West Village Square, London North, ON",London North,North M,Townhouse,4.0,8.0,4.23,549900,https://www.zolo.ca/london-north-real-estate/954-west-village-square
"243 Tecumseh Avenue E, London South, ON",London South,South F,Townhouse,5.0,100.0,4.98,698000,https://www.zolo.ca/london-south-real-estate/243-tecumseh-avenue-east
"100-690 Little Grey Street, London East, ON",London East,East L,Townhouse,3.0,40.0,4.81,310000,https://www.zolo.ca/london-east-real-estate/690-little-grey-street/100
"46-43 Capulet Walk, London North, ON",London North,North M,Townhouse,3.0,,3.52,549900,https://www.zolo.ca/london-north-real-estate/43-capulet-walk/46
"68-1100 Byron Baseline Road W, London South, ON",London South,South K,Townhouse,3.0,,7.42,510000,https://www.zolo.ca/london-south-real-estate/1100-byron-baseline-road-west/68
"403-135 Baseline Road W, London South, ON",London South,South D,Condo,2.0,40.0,5.75,269900,https://www.zolo.ca/london-south-real-estate/135-baseline-road-west/403
"85-2700 Buroak Drive, London North, ON",London North,North S,Townhouse,4.0,,5.02,599000,https://www.zolo.ca/london-north-real-estate/2700-buroak-drive/85
"1406-695 Richmond Street, London East, ON",London East,East F,Condo,3.0,,2.48,357900,https://www.zolo.ca/london-east-real-estate/695-richmond-street/1406
"505-626 First Street, London East, ON",London East,East H,Condo,4.0,,6.1,349000,https://www.zolo.ca/london-east-real-estate/626-first-street/505
"32-159 Sandringham Crescent, London South, ON",London South,South R,Townhouse,3.0,,7.64,324900,https://www.zolo.ca/london-south-real-estate/159-sandringham-crescent/32
"12-1855 Aldersbrook Road, London North, ON",London North,North F,Townhouse,3.0,,3.71,424900,https://www.zolo.ca/london-north-real-estate/1855-aldersbrook-road/12
"34-810 Maitland Street, London East, ON",London East,East B,Townhouse,2.0,40.0,2.75,499900,https://www.zolo.ca/london-east-real-estate/810-maitland-street/34
"26-195 Barker Street, London East, ON",London East,East C,Townhouse,3.0,23.0,3.6,459900,https://www.zolo.ca/london-east-real-estate/195-barker-street/26
"2 Havenwood Way, London North, ON",London North,North O,House,5.0,23.0,6.32,1329000,https://www.zolo.ca/london-north-real-estate/2-havenwood-way
"1418 Helena Montague Avenue, London South, ON",London South,South B,House,4.0,,7.87,794900,https://www.zolo.ca/london-south-real-estate/1418-helena-montague-avenue
"4-135 Belmont Drive, London South, ON",London South,South O,Townhouse,3.0,40.0,6.92,379900,https://www.zolo.ca/london-south-real-estate/135-belmont-drive/4
"303-650 Cheapside Street, London East, ON",London East,East C,Condo,2.0,,2.88,234900,https://www.zolo.ca/london-east-real-estate/650-cheapside-street/303
"1766 Culver Drive, London East, ON",London East,East H,Townhouse,3.0,,7.38,399000,https://www.zolo.ca/london-east-real-estate/1766-culver-drive
"18-518 Blue Jay Drive, London North, ON",London North,North B,Townhouse,3.0,,3.61,749900,https://www.zolo.ca/london-north-real-estate/518-blue-jay-drive/18
"24-464 Commissioners Road W, London South, ON",London South,South N,Townhouse,3.0,23.0,6.21,569900,https://www.zolo.ca/london-south-real-estate/464-commissioners-road-west/24
"377 Griffith Street, London South, ON",London South,South B,House,4.0,,8.25,609999,https://www.zolo.ca/london-south-real-estate/377-griffith-street
"166 Ashland Avenue, London East, ON",London East,East M,House,4.0,75.0,6.09,447900,https://www.zolo.ca/london-east-real-estate/166-ashland-avenue
"406-1705 Fiddlehead Place, London North, ON",London North,North R,Condo,2.0,,2.12,1099000,https://www.zolo.ca/london-north-real-estate/1705-fiddlehead-place/406
"5 Henry Street, London East, ON",London East,East K,House,2.0,,4.23,329900,https://www.zolo.ca/london-east-real-estate/5-henry-street
"206-45 Pond Mills Road, London South, ON",London South,South J,Condo,2.0,40.0,6.94,309500,https://www.zolo.ca/london-south-real-estate/45-pond-mills-road/206
"709-505 Talbot Street, London East, ON",London East,East F,Condo,3.0,,3.06,599900,https://www.zolo.ca/london-east-real-estate/505-talbot-street/709
"14 Duncan Crescent, London East, ON",London East,East D,House,4.0,,6.11,699900,https://www.zolo.ca/london-east-real-estate/14-duncan-crescent
"701-389 Dundas Street, London East, ON",London East,East K,Condo,3.0,40.0,3.78,295000,https://www.zolo.ca/london-east-real-estate/389-dundas-street/701
"1236 Emma Chase, London North, ON",London North,North I,House,4.0,,4.66,835000,https://www.zolo.ca/london-north-real-estate/1236-emma-chase
"873 Southdale Road E, London South, ON",London South,South Y,Townhouse,3.0,,9.06,334900,https://www.zolo.ca/london-south-real-estate/873-southdale-road-east
"1890 Kilgorman Way, London South, ON",London South,South B,House,5.0,0.0,10.24,2620000,https://www.zolo.ca/london-south-real-estate/1890-kilgorman-way
"510-460 Callaway Road, London North, ON",London North,North R,Condo,2.0,2.0,3.65,549000,https://www.zolo.ca/london-north-real-estate/460-callaway-road/510
"1-280 Queens Avenue, London East, ON",London East,East F,Townhouse,2.0,100.0,3.44,386800,https://www.zolo.ca/london-east-real-estate/280-queens-avenue/1
"109-1030 Coronation Drive, London North, ON",London North,North I,Condo,2.0,13.0,4.63,429900,https://www.zolo.ca/london-north-real-estate/1030-coronation-drive/109
"808-583 Mornington Ave Avenue, London East, ON",London East,East G,Condo,2.0,,5.11,264900,https://www.zolo.ca/london-east-real-estate/583-mornington-ave-avenue/808
"501-353 Commissioners Road W, London South, ON",London South,South D,Condo,1.0,23.0,5.93,314999,https://www.zolo.ca/london-south-real-estate/353-commissioners-road-west/501
"323 Clarke Road, London East, ON",London East,East H,House,3.0,75.0,8.14,599000,https://www.zolo.ca/london-east-real-estate/323-clarke-road
"16-433 Hyde Park Road, London North, ON",London North,North P,Townhouse,3.0,13.0,5.92,529900,https://www.zolo.ca/london-north-real-estate/433-hyde-park-road/16
"810-573 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,,5.18,235000,https://www.zolo.ca/london-east-real-estate/573-mornington-avenue/810
"4255 Liberty Crossing, London South, ON",London South,South V,House,3.0,0.0,10.75,699000,https://www.zolo.ca/london-south-real-estate/4255-liberty-crossing
"368 Wharncliffe Road S, London South, ON",London South,South F,Townhouse,2.0,,5.11,579900,https://www.zolo.ca/london-south-real-estate/368-wharncliffe-road-south
"40-311 Vesta Road, London East, ON",London East,East A,Townhouse,3.0,40.0,4.36,336900,https://www.zolo.ca/london-east-real-estate/311-vesta-road/40
"3-352 Ridout Street S, London South, ON",London South,South G,Townhouse,2.0,13.0,5.74,700000,https://www.zolo.ca/london-south-real-estate/352-ridout-street-south/3
"2168 Ironwood Road, London South, ON",London South,South K,House,5.0,,9.47,1389000,https://www.zolo.ca/london-south-real-estate/2168-ironwood-road
"58-490 Third Street, London East, ON",London East,East H,Townhouse,3.0,,7.1,309000,https://www.zolo.ca/london-east-real-estate/490-third-street/58
"136 Mendip Crescent, London South, ON",London South,South Y,House,4.0,,9.05,539900,https://www.zolo.ca/london-south-real-estate/136-mendip-crescent
"904-1103 Jalna Boulevard, London South, ON",London South,South X,Condo,1.0,40.0,9.22,219900,https://www.zolo.ca/london-south-real-estate/1103-jalna-boulevard/904
"22-760 Berkshire Drive, London South, ON",London South,South N,Townhouse,3.0,,5.63,409900,https://www.zolo.ca/london-south-real-estate/760-berkshire-drive/22
"40-1500 Richmond Street, London North, ON",London North,North G,Townhouse,5.0,40.0,1.05,579000,https://www.zolo.ca/london-north-real-estate/1500-richmond-street/40
"764 Banyan Lane, London North, ON",London North,North E,Townhouse,3.0,0.0,4.5,529900,https://www.zolo.ca/london-north-real-estate/764-banyan-lane
"108-1 Jacksway Crescent, London North, ON",London North,North G,Condo,2.0,23.0,1.51,274000,https://www.zolo.ca/london-north-real-estate/1-jacksway-crescent/108
"604 Talltree Crescent, London East, ON",London East,East I,House,4.0,23.0,9.68,569900,https://www.zolo.ca/london-east-real-estate/604-talltree-crescent
"36-1375 Whetherfield Street, London North, ON",London North,North M,Townhouse,3.0,,3.79,525000,https://www.zolo.ca/london-north-real-estate/1375-whetherfield-street/36
"1111-695 Richmond Street, London East, ON",London East,East F,Condo,2.0,,2.48,339000,https://www.zolo.ca/london-east-real-estate/695-richmond-street/1111
"1272 Savannah Drive, London North, ON",London North,North C,Townhouse,3.0,,5.05,474999,https://www.zolo.ca/london-north-real-estate/1272-savannah-drive
"376 Burwell Street, London East, ON",London East,East G,Townhouse,11.0,,3.93,999900,https://www.zolo.ca/london-east-real-estate/376-burwell-street
"52 Emery Street E, London South, ON",London South,South F,House,3.0,100.0,5.19,669900,https://www.zolo.ca/london-south-real-estate/52-emery-street-east
"1011-573 Mornington Avenue, London East, ON",London East,East G,Condo,1.0,40.0,5.18,179900,https://www.zolo.ca/london-east-real-estate/573-mornington-avenue/1011
"23 Barrett Crescent, London South, ON",London South,South Y,House,3.0,,9.65,599100,https://www.zolo.ca/london-south-real-estate/23-barrett-crescent
"304-1100 Jalna Boulevard, London, ON",London,South X,Condo,1.0,48.0,9.21,219900,https://www.zolo.ca/london-real-estate/1100-jalna-boulevard/304
"31-135 Belmont Drive, London South, ON",London South,South O,Townhouse,3.0,40.0,6.92,314900,https://www.zolo.ca/london-south-real-estate/135-belmont-drive/31
"306-135 Base Line Road W, London South, ON",London South,South E,Condo,1.0,,5.76,249900,https://www.zolo.ca/london-south-real-estate/135-base-line-road-west/306
"17-1337 Commissioners Road W, London South, ON",London South,South B,Townhouse,3.0,23.0,7.39,499900,https://www.zolo.ca/london-south-real-estate/1337-commissioners-road-west/17
"803-860 Commissioners Road E, London South, ON",London South,South H,Condo,2.0,40.0,7.19,269900,https://www.zolo.ca/london-south-real-estate/860-commissioners-road-east/803
"308-460 Wellington Street, London East, ON",London East,East F,Condo,2.0,100.0,3.41,299900,https://www.zolo.ca/london-east-real-estate/460-wellington-street/308
"1975 Upperpoint Gate, London South, ON",London South,South B,Townhouse,4.0,2.0,9.09,724900,https://www.zolo.ca/london-south-real-estate/1975-upperpoint-gate
"909-95 Base Line Road W, London South, ON",London South,South E,Condo,2.0,,5.75,299900,https://www.zolo.ca/london-south-real-estate/95-base-line-road-west/909
"7-1548 Richmond Street, London North, ON",London North,North G,Townhouse,4.0,40.0,1.08,549900,https://www.zolo.ca/london-north-real-estate/1548-richmond-street/7
"647 Piccadilly Street, London East, ON",London East,East G,House,2.0,75.0,3.32,519900,https://www.zolo.ca/london-east-real-estate/647-piccadilly-street
"1005-330 Ridout Street N, London East, ON",London East,East K,Condo,1.0,,3.67,399888,https://www.zolo.ca/london-east-real-estate/330-ridout-street-north/1005
"129 Giles Street, London East, ON",London East,East M,House,3.0,100.0,7.17,499999,https://www.zolo.ca/london-east-real-estate/129-giles-street
"376 Richmond Street, London East, ON",London East,East K,Townhouse,23.0,,3.58,6600000,https://www.zolo.ca/london-east-real-estate/376-richmond-street
"1367 Reardon Boulevard, London South, ON",London South,South U,Townhouse,4.0,,9.42,564900,https://www.zolo.ca/london-south-real-estate/1367-reardon-boulevard
"14-152 Albert Street, London East, ON",London East,East F,Townhouse,2.0,,2.84,629900,https://www.zolo.ca/london-east-real-estate/152-albert-street/14
"2751 Oriole Drive, London South, ON",London South,South U,House,4.0,,11.5,649999,https://www.zolo.ca/london-south-real-estate/2751-oriole-drive
"860 Trafalgar Street, London East, ON",London East,East L,Townhouse,3.0,,5.67,499999,https://www.zolo.ca/london-east-real-estate/860-trafalgar-street
"704-363 Colborne Street, London East, ON",London East,East K,Condo,2.0,40.0,3.92,274900,https://www.zolo.ca/london-east-real-estate/363-colborne-street/704
"226 Grand Avenue, London South, ON",London South,South H,House,2.0,,5.01,389900,https://www.zolo.ca/london-south-real-estate/226-grand-avenue
"1001 Oxford Street E, London East, ON",London East,East G,Townhouse,2.0,,4.21,409000,https://www.zolo.ca/london-east-real-estate/1001-oxford-street-east
"401-75 Huxley Street, London South, ON",London South,South E,Condo,2.0,,5.83,284900,https://www.zolo.ca/london-south-real-estate/75-huxley-street/401
"2-669 Osgoode Drive, London South, ON",London South,South Y,Townhouse,4.0,75.0,9.06,399900,https://www.zolo.ca/london-south-real-estate/669-osgoode-drive/2
"52-136 Conway Drive, London South, ON",London South,South X,Condo,1.0,40.0,8.95,216500,https://www.zolo.ca/london-south-real-estate/136-conway-drive/52
